id,bin_0,bin_1,bin_2,bin_3,bin_4,nom_0,nom_1,nom_2,nom_3,nom_4,nom_5,nom_6,nom_7,nom_8,nom_9,ord_0,ord_1,ord_2,ord_3,ord_4,ord_5,day,month,target
0,0,0,0,T,Y,Green,Triangle,Snake,Finland,Bassoon,50f116bcf,3ac1b8814,68f6ad3e9,c389000ab,2f4cb3d51,2,Grandmaster,Cold,h,D,kr,2,2,0
1,0,1,0,T,Y,Green,Trapezoid,Hamster,Russia,Piano,b3b4d25d0,fbcb50fc1,3b6dd5612,4cd920251,f83c56c21,1,Grandmaster,Hot,a,A,bF,7,8,0
2,0,0,0,F,Y,Blue,Trapezoid,Lion,Russia,Theremin,3263bdce5,0922e3cb8,a6a36f527,de9c9f684,ae6800dd0,1,Expert,Lava Hot,h,R,Jc,7,2,0
3,0,1,0,F,Y,Red,Trapezoid,Snake,Canada,Oboe,f12246592,50d7ad46a,ec69236eb,4ade6ab69,8270f0d71,1,Grandmaster,Boiling Hot,i,D,kW,2,1,1
4,0,0,0,F,N,Red,Trapezoid,Lion,Canada,Oboe,5b0f5acd5,1fe17a1fd,04ddac2be,cb43ab175,b164b72a7,1,Grandmaster,Freezing,a,R,qP,7,8,0
5,0,1,1,T,N,Blue,Polygon,Lion,Costa Rica,Oboe,46cab09da,29a854620,ff5b35098,b7e6f8e6f,51e27c16d,1,Novice,Freezing,j,E,PZ,2,2,0
6,0,1,1,T,N,Green,Trapezoid,Cat,China,Piano,be5592604,3393a0f78,c6587685d,06f5ae149,7e3d79a0d,2,Grandmaster,Lava Hot,g,P,wy,5,4,0
7,1,0,1,T,Y,Red,Triangle,Dog,Russia,Oboe,72f8028dc,55eed5058,2dd9daf45,98addc2c9,feb72ecc2,1,Novice,Lava Hot,j,K,Ed,4,2,0
8,1,0,1,T,Y,Blue,Square,Hamster,Canada,Bassoon,4604905e7,3e44d44eb,3f0057c9b,a2d110837,34a7273bf,2,Novice,Boiling Hot,e,V,qo,3,4,0
9,0,0,0,F,Y,Red,Trapezoid,Lion,China,Piano,ad95dc0ee,8ed6221ae,4fbfe4a84,2c15d0173,0ece7a511,1,Expert,Freezing,h,Q,CZ,3,2,0
10,0,1,0,T,Y,Green,Star,Snake,China,Piano,4604905e7,153316f52,b23e16a87,59bd5621f,7f5e74721,1,Grandmaster,Boiling Hot,g,R,qX,3,10,0
11,0,1,0,T,Y,Blue,Polygon,Snake,Russia,Oboe,2ff007c26,6ea52a806,d31f87228,dcf843eef,01dd99dc0,1,Novice,Freezing,i,Z,su,7,2,0
12,0,1,0,F,N,Green,Polygon,Cat,China,Oboe,a35c346aa,1795ef28b,89f4255e4,7e01eda84,e82ec9b46,3,Novice,Boiling Hot,g,R,dP,3,3,1
13,1,1,1,F,Y,Blue,Trapezoid,Cat,India,Oboe,dbfb714a4,628f3170f,5a99b7d9f,6e6d08b6f,cba64770e,1,Novice,Boiling Hot,i,V,aP,3,2,1
14,0,0,1,T,Y,Blue,Triangle,Snake,India,Theremin,e1558b071,628f3170f,5ee5d882b,b80b1b531,3c915f463,1,Grandmaster,Boiling Hot,d,L,MV,7,7,0
15,0,0,1,F,N,Green,Trapezoid,Lion,Russia,Piano,39647c92a,08b282a6c,00994f749,8a8ccfe81,d445baa4d,1,Contributor,Hot,i,Q,oC,1,9,1
16,0,0,0,T,N,Red,Circle,Hamster,Russia,Oboe,ee55b9d67,395941181,91c26901a,078133e43,21ef6824e,1,Contributor,Boiling Hot,j,F,RL,2,12,0
17,0,1,0,T,Y,Green,Star,Lion,Finland,Theremin,416a8f3ab,d44f7245a,d2d8eabdb,19a7677f3,332ab0429,1,Master,Cold,i,Q,fh,4,10,1
18,0,0,1,T,N,Blue,Square,Lion,China,Bassoon,91bde92fa,78500847e,5c843e08f,e588cff32,2533756c6,1,Contributor,Freezing,g,V,gJ,3,2,0
